2024-06-26 11:07:05 | INFO | Registrazione avvenuta con successo | User: sophi | IP: ::1
2024-06-26 11:07:08 | INFO | Logout effettuato | User: sophi | IP: ::1
2024-06-26 11:07:27 | INFO | Registrazione avvenuta con successo | User: jade | IP: ::1
2024-06-26 11:07:30 | INFO | Logout effettuato | User: jade | IP: ::1
2024-06-26 11:08:40 | INFO | Registrazione avvenuta con successo | User: pippo | IP: ::1
2024-06-26 11:08:41 | INFO | Logout effettuato | User: pippo | IP: ::1
2024-06-26 11:09:12 | INFO | Registrazione avvenuta con successo | User: mary | IP: ::1
2024-06-26 11:09:15 | INFO | Logout effettuato | User: mary | IP: ::1
2024-06-26 11:13:36 | INFO | Registrazione avvenuta con successo | User: chiara | IP: 127.0.0.1
2024-06-26 11:13:38 | INFO | Logout effettuato | User: chiara | IP: 127.0.0.1
2024-06-26 11:13:44 | INFO | Accesso riuscito | User: chiara | IP: 127.0.0.1
2024-06-26 11:13:53 | INFO | Account rimosso | User: chiara | IP: 127.0.0.1
2024-06-26 11:14:37 | ERROR | Accesso negato | User: sophi | IP: ::1
2024-06-26 17:11:09 | ERROR | Accesso negato | User: a | IP: ::1
2024-06-26 17:11:12 | ERROR | Accesso negato | User: a | IP: ::1
2024-06-27 22:07:28 | ERROR | Accesso negato | User: jade | IP: 127.0.0.1
2024-06-27 22:07:33 | ERROR | Accesso negato | User: jade | IP: 127.0.0.1
2024-06-27 22:07:37 | ERROR | Accesso negato | User: jade | IP: 127.0.0.1
2024-06-27 22:08:28 | ERROR | Accesso negato | User: jade | IP: 127.0.0.1
2024-06-27 22:09:55 | INFO | Accesso riuscito | User: jade | IP: 127.0.0.1
2024-07-02 15:59:17 | ERROR | Accesso negato | User: a | IP: 127.0.0.1
2024-07-02 15:59:30 | ERROR | Accesso negato | User: a | IP: 127.0.0.1
2024-07-02 15:59:34 | ERROR | Accesso negato | User: a | IP: 127.0.0.1
2024-07-02 15:59:50 | ERROR | Accesso negato | User: jade | IP: 127.0.0.1
2024-06-27 22:09:55 | INFO | Accesso riuscito | User: jade | IP: 127.0.0.1
2024-07-03 10:52:41 | INFO | Registrazione avvenuta con successo | User: sophi | IP: 127.0.0.1
2024-07-03 10:52:44 | INFO | Logout effettuato | User: sophi | IP: 127.0.0.1
2024-07-03 10:52:55 | ERROR | Accesso negato | User: sophi | IP: 127.0.0.1
2024-07-03 10:53:04 | ERROR | Accesso negato | User: sophi | IP: 127.0.0.1
2024-07-03 10:53:13 | INFO | Accesso riuscito | User: sophi | IP: 127.0.0.1
2024-07-03 10:53:18 | INFO | Logout effettuato | User: sophi | IP: 127.0.0.1
2024-07-03 10:53:28 | ERROR | Accesso negato | User: sophi | IP: 127.0.0.1
2024-07-03 10:54:04 | ERROR | Accesso negato | User: jade | IP: ::1
2024-07-03 10:54:10 | ERROR | Accesso negato | User: jade  | IP: ::1
2024-07-03 12:45:30 | ERROR | Accesso negato | User: sophi | IP: 127.0.0.1
2024-07-03 12:46:57 | ERROR | Accesso negato | User: sophi | IP: 127.0.0.1
2024-07-03 12:48:06 | ERROR | Accesso negato | User: sophi | IP: 127.0.0.1
2024-07-03 12:48:57 | INFO | Accesso riuscito| User: sophi | IP: 127.0.0.1
